pair_id,label,filename_similarity,content_similarity,metadata_similarity,size_similarity,tfidf_similarity,embedding_similarity,sha256_match,overall_similarity,difficulty,geometric_cluster_id,is_labeled,uncertainty_score,difficulty_code
1437,1,0.7391,1.0,0.6174,1.0,0.9632,0.974,0.0,0.9213,Hard,3,False,0.5,2
1438,0,0.4231,0.324,0.4329,0.0178,0.0443,0.0514,0.0,0.2204,Non-Duplicate,0,False,0.5,4
1439,1,0.8621,1.0,0.6667,1.0,1.0,1.0,0.0,0.9529,Medium,3,False,0.5,1
1440,1,0.8444,1.0,0.6667,1.0,0.9786,0.9773,0.0,0.9412,Medium,3,False,0.5,1
1441,1,0.8846,1.0,0.8607,1.0,0.8961,0.9177,0.0,0.9321,Medium,1,False,0.5,1
1442,1,0.7451,0.9739,0.5932,1.0,0.9382,0.9906,0.0,0.9074,Hard,3,False,0.5,2
1443,1,0.8772,1.0,0.6219,1.0,0.976,0.9759,0.0,0.9391,Medium,3,False,0.5,1
1444,1,0.8511,1.0,1.0,1.0,0.9871,0.9886,0.0,0.9796,Easy,1,False,0.5,0
1445,0,0.5128,0.2799,0.3306,0.2226,0.0169,0.0174,0.0,0.19,Non-Duplicate,0,False,0.5,4
1446,1,0.7857,1.0,0.6667,1.0,0.9486,0.9477,0.0,0.9219,Hard,3,False,0.5,2
1447,0,0.5128,0.3143,0.3982,0.2734,0.0206,0.0227,0.0,0.2108,Non-Duplicate,0,False,0.5,4
1448,1,0.8837,1.0,0.4333,1.0,0.975,0.975,0.0,0.9205,Hard,3,False,0.5,2
1449,1,0.9268,0.9963,0.4333,1.0,0.9576,0.9723,0.0,0.9186,Hard,3,False,0.5,2
1450,1,0.9062,0.9993,0.4142,1.0,0.9991,1.0,0.0,0.9316,Hard,3,False,0.5,2
1451,1,0.9302,1.0,0.4333,1.0,0.9914,0.9935,0.0,0.9329,Medium,3,False,0.5,1
1452,1,0.9302,1.0,1.0,1.0,0.981,0.9972,0.0,0.9877,Easy,1,False,0.5,0
1453,1,0.76,0.996,0.4333,1.0,0.988,0.9993,0.0,0.9148,Hard,3,False,0.5,2
1454,0,0.5641,0.2935,0.4096,0.2301,0.0162,0.0154,0.0,0.2072,Non-Duplicate,0,False,0.5,4
1455,1,0.7692,1.0,0.4333,1.0,0.9926,0.9966,0.0,0.9177,Hard,3,False,0.5,2
1456,1,0.8636,1.0,0.6667,1.0,0.9749,0.9735,0.0,0.9414,Medium,3,False,0.5,1
1457,1,0.7547,0.9778,0.4333,1.0,0.9489,0.993,0.0,0.8969,Hard,3,False,0.5,2
1458,1,0.7879,0.9075,1.0,1.0,0.9997,1.0,0.0,0.9463,Medium,1,False,0.5,1
1459,1,0.8785,0.5357,0.6667,1.0,0.9986,0.9999,0.0,0.7916,Hard,3,False,0.5,2
1460,1,0.878,0.9847,0.9781,1.0,0.9421,0.9612,0.0,0.958,Easy,1,False,0.5,0
1461,1,0.84,1.0,1.0,1.0,0.9803,0.9979,0.0,0.9787,Easy,1,False,0.5,0
1462,1,0.8571,1.0,0.6667,1.0,1.0,1.0,0.0,0.9524,Medium,3,False,0.5,1
1463,0,0.5641,0.2832,0.3374,0.2441,0.0108,0.0137,0.0,0.1947,Non-Duplicate,0,False,0.5,4
1464,0,0.5366,0.3961,0.1361,0.3567,0.0195,0.0204,0.0,0.2149,Non-Duplicate,0,False,0.5,4
1465,0,0.5641,0.305,0.5868,0.2126,0.0167,0.0181,0.0,0.2296,Non-Duplicate,0,False,0.5,4
